State,City,rank,total_capacity
ON,Brampton,2,76.0
ON,Matheson,3,15.0
ON,Niagara Falls,1,100.0
ON,Toronto,4,15.0
OR,Beaverton,2,3153.0
OR,Bend,4,1217.0
OR,Others,Others,26680.0
OR,Portland,1,4826.0
OR,Salem,3,1871.0
PA,Allentown,3,1706.0
PA,King of Prussia,4,1611.0
PA,Others,Others,34211.0
PA,Philadelphia,1,5615.0
PA,Pittsburgh,2,4823.0
PR,Guaynabo,2,45.0
PR,Rio Grande,3,30.0
PR,San Juan,1,59.0
QC,Los Angeles,1,14.0
RI,East Greenwich,3,560.0
RI,Johnston,4,499.0
RI,Others,Others,3576.0
RI,Providence,2,1840.0
RI,Warwick,1,2158.0
SC,Florence,1,2933.0
SC,Greenville,4,1522.0
SC,Hilton Head Island,2,1957.0
SC,Orangeburg,3,1629.0
SC,Others,Others,12924.0
SD,Custer,3,527.0
SD,Others,Others,1792.0
SD,Rapid City,4,446.0
SD,Sioux Falls,2,721.0
SD,Wall,1,1200.0
TN,Chattanooga,3,2512.0
TN,Knoxville,4,2112.0
TN,Memphis,2,3034.0
TN,Nashville,1,6044.0
TN,Others,Others,12230.0
TX,Austin,1,12272.0
TX,Dallas,3,5698.0
TX,Houston,2,10718.0
TX,Others,Others,63598.0
TX,San Antonio,4,5134.0
UT,Beaver,2,1800.0
UT,Draper,3,1071.0
UT,Lehi,4,1061.0
UT,Others,Others,16328.0
UT,Salt Lake City,1,5129.0
VA,Arlington,2,3685.0
VA,Fairfax,4,2707.0
VA,Norfolk,3,2945.0
VA,Others,Others,46625.0
VA,Richmond,1,4867.0
VT,Brattleboro,3,630.0
VT,Burlington,4,537.0
VT,Others,Others,7593.0
VT,Rutland,2,856.0
VT,South Burlington,1,1059.0
WA,Bellevue,2,5362.0
WA,Others,Others,40549.0
WA,Seattle,1,15611.0
WA,Tacoma,4,2136.0
WA,Vancouver,3,2171.0
WI,Kenosha,4,717.0
WI,Madison,1,3063.0
WI,Menomonee Falls,2,890.0
WI,Milwaukee,3,809.0
WI,Others,Others,11007.0
WV,Huntington,4,451.0
WV,Morgantown,1,1047.0
WV,Mt. Hope,2,800.0
WV,Others,Others,3281.0
WV,Triadelphia,3,674.0
WY,Evanston,3,600.0
WY,Jackson,1,1113.0
WY,Laramie,4,460.0
WY,Others,Others,2443.0
WY,Rawlins,2,1000.0
