s_id,direction,lane,lat,long,month,dailytraffic
163,5,1,40.604505,82.68904,1,101497
163,5,1,43.680282,116.462632,1,101497
164,5,4,33.546019,86.783626,1,557309
164,5,5,33.546019,86.783626,1,323435
34,7,1,32.380369,86.286308,1,55090
165,1,1,33.548493,86.766913,1,304800
165,1,1,43.994474,98.030824,1,304800
609958,7,1,30.69169,86.09558,1,210062
165,1,2,33.548493,86.766913,1,455029
165,1,2,43.994474,98.030824,1,455029
165,1,3,33.548493,86.766913,1,447771
165,1,4,33.548493,86.766913,1,294160
34,3,3,32.380369,86.286308,1,4844
165,5,1,33.548493,86.766913,1,320399
165,5,1,43.994474,98.030824,1,320399
609958,7,2,30.69169,86.09558,1,102778
165,5,2,33.548493,86.766913,1,504450
165,5,2,43.994474,98.030824,1,504450
165,5,3,33.548493,86.766913,1,495868
165,5,4,33.548493,86.766913,1,293339
34,3,2,42.521058,71.702973,1,162205
168,1,1,33.052018,82.66383,1,282424
168,1,1,33.544928,86.752254,1,282424
164,5,3,33.546019,86.783626,1,483012
163,5,1,41.66975,107.74302,1,101497
164,5,2,47.386478,92.517191,1,294617
164,5,2,33.546019,86.783626,1,294617
600870,7,2,34.817101,92.153976,1,37518
163,5,2,33.633792,86.624079,1,417849
163,5,2,43.680282,116.462632,1,417849
34,7,1,42.352728,111.094303,1,55090
163,5,3,33.633792,86.624079,1,396141
164,1,1,30.6788,82.558,1,229745
164,1,1,33.546019,86.783626,1,229745
600870,7,3,34.817101,92.153976,1,16592
164,1,1,34.774272,83.075817,1,229745
164,1,1,47.386478,92.517191,1,229745
164,1,2,33.546019,86.783626,1,511734
34,7,1,38.3883,81.7982,1,55090
164,1,2,47.386478,92.517191,1,511734
164,1,3,33.546019,86.783626,1,512445
609958,3,1,30.69169,86.09558,1,215878
164,1,4,33.546019,86.783626,1,270186
164,5,1,30.6788,82.558,1,41438
164,5,1,33.546019,86.783626,1,41438
164,5,1,34.774272,83.075817,1,41438
34,7,1,34.857425,82.344036,1,55090
164,5,1,47.386478,92.517191,1,41438
609958,3,2,30.69169,86.09558,1,92399
177,1,2,35.301332,85.150546,1,474433
101807,1,1,34.633153,112.289371,1,121450
177,1,3,32.367539,86.316454,1,390279
189,7,1,59.64182,151.539923,1,90940
101555,7,1,35.70941,109.53481,1,68920
101555,3,1,35.70941,109.53481,1,68485
700114,5,2,28.00176,80.562,1,162263
101554,7,1,35.70867,109.5487,1,93647
101554,3,1,35.70867,109.5487,1,90253
32,1,1,44.15416,92.533333,1,181680
101552,7,1,35.783819,109.66614,1,24199
201,1,0,26.087975,97.585251,1,105989
101552,3,1,35.783819,109.66614,1,24400
101536,7,1,34.109321,109.32843,1,15058
201,1,0,39.662118,106.085181,1,105989
32,1,1,43.41422,110.7727,1,181680
700134,1,1,27.95394,80.61009,1,205028
101536,3,1,34.109321,109.32843,1,15385
101533,7,1,34.04047,109.67381,1,23314
101533,3,1,34.04047,109.67381,1,23447
101519,7,2,34.294999,110.186759,1,8076
32,1,1,42.345417,71.26251,1,181680
201,5,0,26.087975,97.585251,1,106078
700134,1,2,27.95394,80.61009,1,348259
32,1,1,44.295669,111.457499,1,181680
101519,7,1,34.294999,110.186759,1,39509
189,7,1,43.875208,116.976326,1,90940
189,3,1,59.64182,151.539923,1,95564
180,5,2,40.89246,73.88471,1,190326
101581,1,1,32.879661,111.615066,1,88654
180,5,3,32.450915,86.211772,1,114924
32,1,2,42.345417,71.26251,1,219937
700114,1,1,28.00176,80.562,1,222591
101569,7,1,32.057875,111.323218,1,16462
180,5,3,34.774272,83.075817,1,114924
101569,3,1,32.057875,111.323218,1,15119
101565,5,1,34.50359,110.189594,1,13065
180,5,3,40.89246,73.88471,1,114924
32,1,2,33.881531,78.601617,1,219937
101565,1,1,34.50359,110.189594,1,11581
700114,1,2,28.00176,80.562,1,222825
183,1,1,32.61527,83.70117,1,27168
183,1,1,60.52695,150.680556,1,27168
183,5,1,32.61527,83.70117,1,26675
183,5,1,60.52695,150.680556,1,26675
32,1,2,30.283723,87.686463,1,219937
189,3,1,33.94111,84.5269,1,95564
